"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5000-Dx-431","Kreistanz um ein loderndes Feuer","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-432","Prellen: Spiel im Freien - Kinder und Erwachsenen halten ein Tuch - Mädchen in die Luft springend","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-433","Vier Wandervögel sitzen auf einer Holzbank vor einem Haus; zwei spielen Gitarre","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-434","Kreistanz um ein loderndes Feuer","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-435","Mann Gitarre spielend","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-436","Gruppe von Wandervögeln im Freien: Mädchen Gitarre spielend, Junge Geige spielend","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-437","Zwei Personen sitzen am Tisch und essen (Mahlzeit)","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-438","Winterstimmung: Junge Männer auf der Strasse und beim Schlitteln","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-439","Junge Männer beim Essen","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Dx-440","Junge Männer bei einer Rast auf einem Brunnen","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940","Europa;Schweiz"
"Sozarch_F_5000-Fx-001","Gruppenporträt vor der Wandervogel-Landsgemeinde auf der Kyburg (1910)","Neuzeit;20. Jh.;1901-1950;1901-1910;1910","Europa;Schweiz;Zürich, Kanton;Kyburg"
"Sozarch_F_5000-Fx-002","Versammelte Wandervögel an der Wandervogel-Landsgemeinde Kyburg (1910)","Neuzeit;20. Jh.;1901-1950;1901-1910;1910","Europa;Schweiz;Zürich, Kanton;Kyburg"
"Sozarch_F_5000-Fx-003","Tanzende Wandervögel an der Wandervogel-Landsgemeinde in Altenklingen (1913)","Neuzeit;20. Jh.;1901-1950;1911-1920;1913","Europa;Schweiz;Thurgau;Märstetten"
"Sozarch_F_5000-Fx-004","Tanzende Wandervögel an der Wandervogel-Landsgemeinde in Altenklingen (1913)","Neuzeit;20. Jh.;1901-1950;1911-1920;1913","Europa;Schweiz;Thurgau;Märstetten"
"Sozarch_F_5000-Fx-006","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - In Erwartung der Verpflegung (1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-007","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Verhandlungen an der Landsgemeinde (1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-008","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Musizierende und tanzende Wandervögel um den Maibaum (Geige, Akkordeon) (1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-009","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Musik um den Maibaum (Gitarre, Geige, Akkordeon) (1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-010","Seilziehen an der Wandervogel-Landsgemeinde (1914 oder 1915)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914 /Neuzeit;20. Jh.;1901-1950;1911-1920;1915","Europa;Schweiz"
"Sozarch_F_5000-Fx-011","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Küche in Geristein - Frau Gitarre spielend (Pfingsten 1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-012","Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Frauen und Männer tanzen zu zweit im Freien (Pfingsten 1914)","Neuzeit;20. Jh.;1901-1950;1911-1920;1914","Europa;Schweiz;Bern, Kanton;Bolligen"
"Sozarch_F_5000-Fx-013","Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg): Der Bundesvorstandstisch mit acht jungen Männern im Freien - Schweizerfahne a","Neuzeit;20. Jh.;1901-1950;1911-1920;1915","Europa;Schweiz;Zürich, Kanton;Steinmau"
"Sozarch_F_5000-Fx-014","Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Bild vom Landsgemeindeleben: Tanzen im Kreis auf der Wiese (1915)","Neuzeit;20. Jh.;1901-1950;1911-1920;1915","Europa;Schweiz;Zürich, Kanton;Steinmau"
"Sozarch_F_5000-Fx-015","Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Landsgemeinde aus der Ferne (1915)","Neuzeit;20. Jh.;1901-1950;1911-1920;1915","Europa;Schweiz;Zürich, Kanton;Steinmau"
"Sozarch_F_5000-Fx-016","Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Lagerleben im Freien (1915)","Neuzeit;20. Jh.;1901-1950;1911-1920;1915","Europa;Schweiz;Zürich, Kanton;Steinmau"
