,Signatur,Titel,Zeit,Kontinent,Land,Kanton,Ort,E,N
0,Sozarch_F_5000-Dx-431,Kreistanz um ein loderndes Feuer,1931-1940,Europa,CH,,,,
1,Sozarch_F_5000-Dx-432,Prellen: Spiel im Freien - Kinder und Erwachsenen halten ein Tuch - Mädchen in die Luft springend,1931-1940,Europa,CH,,,,
2,Sozarch_F_5000-Dx-433,Vier Wandervögel sitzen auf einer Holzbank vor einem Haus; zwei spielen Gitarre,1931-1940,Europa,CH,,,,
3,Sozarch_F_5000-Dx-434,Kreistanz um ein loderndes Feuer,1931-1940,Europa,CH,,,,
4,Sozarch_F_5000-Dx-435,Mann Gitarre spielend,1931-1940,Europa,CH,,,,
5,Sozarch_F_5000-Dx-436,"Gruppe von Wandervögeln im Freien: Mädchen Gitarre spielend, Junge Geige spielend",1931-1940,Europa,CH,,,,
6,Sozarch_F_5000-Dx-437,Zwei Personen sitzen am Tisch und essen (Mahlzeit),1931-1940,Europa,CH,,,,
7,Sozarch_F_5000-Dx-438,Winterstimmung: Junge Männer auf der Strasse und beim Schlitteln,1931-1940,Europa,CH,,,,
8,Sozarch_F_5000-Dx-439,Junge Männer beim Essen,1931-1940,Europa,CH,,,,
9,Sozarch_F_5000-Dx-440,Junge Männer bei einer Rast auf einem Brunnen,1931-1940,Europa,CH,,,,
10,Sozarch_F_5000-Fx-001,Gruppenporträt vor der Wandervogel-Landsgemeinde auf der Kyburg (1910),1910,Europa,CH,ZH,Kyburg,698482,257153
11,Sozarch_F_5000-Fx-002,Versammelte Wandervögel an der Wandervogel-Landsgemeinde Kyburg (1910),1910,Europa,CH,ZH,Kyburg,698482,257153
12,Sozarch_F_5000-Fx-003,Tanzende Wandervögel an der Wandervogel-Landsgemeinde in Altenklingen (1913),1913,Europa,CH,TG,Märstetten,722639,272745
13,Sozarch_F_5000-Fx-004,Tanzende Wandervögel an der Wandervogel-Landsgemeinde in Altenklingen (1913),1913,Europa,CH,TG,Märstetten,722639,272745
14,Sozarch_F_5000-Fx-006,Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - In Erwartung der Verpflegung (1914),1914,Europa,CH,BE,Bolligen,604386,202664
15,Sozarch_F_5000-Fx-007,Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Verhandlungen an der Landsgemeinde (1914),1914,Europa,CH,BE,Bolligen,604386,202664
16,Sozarch_F_5000-Fx-008,"Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Musizierende und tanzende Wandervögel um den Maibaum (Geige, Akkordeon) (1914)",1914,Europa,CH,BE,Bolligen,604386,202664
17,Sozarch_F_5000-Fx-009,"Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Musik um den Maibaum (Gitarre, Geige, Akkordeon) (1914)",1914,Europa,CH,BE,Bolligen,604386,202664
18,Sozarch_F_5000-Fx-010,Seilziehen an der Wandervogel-Landsgemeinde (1914 oder 1915),1915,Europa,CH,,,,
19,Sozarch_F_5000-Fx-011,Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Küche in Geristein - Frau Gitarre spielend (Pfingsten 1914),1914,Europa,CH,BE,Bolligen,604386,202664
20,Sozarch_F_5000-Fx-012,Wandervogel-Landsgemeinde auf dem Bantiger bei Bern - Frauen und Männer tanzen zu zweit im Freien (Pfingsten 1914),1914,Europa,CH,BE,Bolligen,604386,202664
21,Sozarch_F_5000-Fx-013,Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg): Der Bundesvorstandstisch mit acht jungen Männern im Freien - Schweizerfahne a,1915,Europa,CH,ZH,Steinmaur,676630,261426
22,Sozarch_F_5000-Fx-014,Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Bild vom Landsgemeindeleben: Tanzen im Kreis auf der Wiese (1915),1915,Europa,CH,ZH,Steinmaur,676630,261426
23,Sozarch_F_5000-Fx-015,Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Landsgemeinde aus der Ferne (1915),1915,Europa,CH,ZH,Steinmaur,676630,261426
24,Sozarch_F_5000-Fx-016,Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) - Lagerleben im Freien (1915),1915,Europa,CH,ZH,Steinmaur,676630,261426
25,Sozarch_F_5000-Fx-018,Wandervogel-Landsgemeinde bei Steinmaur (Heitlisberg) -Tanzen im Kreis auf der Wiese (1915),1915,Europa,CH,ZH,Steinmaur,676630,261426
26,Sozarch_F_5000-Fx-019,Wandervogel-Landsgemeinde beim Schloss Buonas - Versammelte Zürcher Wandervogel-Mädchen vor dem alten Schloss (1916),1916,Europa,CH,ZG,Risch,677862,220696
27,Sozarch_F_5000-Fx-020,"Wandervogel-Landsgemeinde beim Schloss Buonas - Die Musikanten spielen zum Volkstanz auf (Gitarre, Geige, Querflöte) (1916)",1916,Europa,CH,ZG,Risch,677862,220696
28,Sozarch_F_5000-Fx-021,Wandervogel-Landsgemeinde beim Schloss Buonas - Köbi Flach (links) mit einem anderen Mann aus einer Schüssel essend (1916),1916,Europa,CH,ZG,Risch,677862,220696
29,Sozarch_F_5000-Fx-022,Wandervogel-Landsgemeinde beim Schloss Buonas - Versammelte Wandervögel am Zugersee (1916),1916,Europa,CH,ZG,Risch,677862,220696
30,Sozarch_F_5000-Fx-023,"Wandervogel-Landsgemeinde beim Schloss Buonas - Wanderer, zum Teil mit Rucksäcken, laufen in Gänsemarsch (1916)",1916,Europa,CH,ZG,Risch,677862,220696
31,Sozarch_F_5000-Fx-024,"Wandervogel-Landsgemeinde: Rosinli bei Adetswil, Züricher Oberland - Der neue Obmann (Heinrich Oberholzer) sein Amt antretend (1917)",1917,Europa,CH,ZH,Bäretswi,,
32,Sozarch_F_5000-Fx-025,"Wandervogel-Landsgemeinde: Rosinli bei Adetswil, Züricher Oberland - Carl Mäder zu den Wandervögeln redend (1917)",1917,Europa,CH,ZH,Bäretswi,,
33,Sozarch_F_5000-Fx-026,"Wandervogel-Landsgemeinde: Rosinli bei Adetswil, Züricher Oberland - Bild vom Tanzen und Musizieren (Gitarre, Geige, Querflöte) (191",1917,Europa,CH,ZH,Bäretswi,,
34,Sozarch_F_5000-Fx-027,"Wandervogel-Landsgemeinde: Rosinli bei Adetswil, Züricher Oberland - Zuschauer beim Spiel - Mann eine Geige spielend (1917)",1917,Europa,CH,ZH,Bäretswi,,
